Countries,Global,Econ,Edu,Health,Poli,poulation
China,0.674,0.654,0.963,0.918,0.16,1409517397
India,0.669,0.376,0.952,0.942,0.407,1339180127
United_States,0.718,0.776,1,0.973,0.124,324459463
Indonesia,0.691,0.61,0.986,0.976,0.193,263991379
Brazil,0.684,0.655,1,0.98,0.101,209288278
Pakistan,0.546,0.309,0.802,0.948,0.127,197015955
Nigeria,0.641,0.728,0.813,0.972,0.052,190886311
Bangladesh,0.719,0.465,0.954,0.966,0.493,164669751
Russia,0.696,0.724,0.997,0.98,0.085,143989754
Mexico,0.692,0.518,0.996,0.977,0.276,129163276
