Countries,Global,Econ,Edu,Health,Poli,Category1,Category2,Category3,Category4
Bangladesh,0.719,0.465,0.954,0.966,0.493,Asia,,Popu,
Bhutan,0.638,0.622,0.916,0.959,0.056,Asia,,,
Brazil,0.684,0.655,1,0.98,0.101,,GDP,Popu,
Brunei,0.671,0.692,0.99,0.969,0.031,Asia,,,
Cambodia,0.676,0.698,0.921,0.98,0.104,Asia,,,
Canada,0.769,0.744,1,0.97,0.361,,GDP,,
China,0.674,0.654,0.963,0.918,0.16,,,,
Cuba,0.745,0.629,1,0.97,0.382,,,,Social
France,0.778,0.683,1,0.977,0.453,,GDP,,
Germany,0.778,0.72,0.97,0.975,0.447,,GDP,,
India,0.669,0.376,0.952,0.942,0.407,Asia,GDP,Popu,
Indonesia,0.691,0.61,0.986,0.976,0.193,Asia,,Popu,
Italy,0.692,0.571,0.995,0.967,0.234,,GDP,,
Japan,0.657,0.58,0.991,0.98,0.078,Asia,GDP,,
Korea,0.65,0.533,0.96,0.973,0.134,Asia,,,
Laos,0.703,0.769,0.933,0.974,0.137,Asia,,,Social
Malaysia,0.67,0.654,0.991,0.977,0.058,Asia,,,
Maldives,0.669,0.641,1,0.963,0.072,Asia,,,
Mexico,0.692,0.518,0.996,0.977,0.276,,,Popu,
Mongolia,0.713,0.776,0.993,0.98,0.102,Asia,,,
Myanmar,0.691,0.754,0.975,0.976,0.059,Asia,,,
Nepal,0.664,0.599,0.936,0.969,0.155,Asia,,,
Nigeria,0.641,0.728,0.813,0.972,0.052,,,Popu,
Pakistan,0.546,0.309,0.802,0.948,0.127,Asia,,Popu,
Philippines,0.79,0.764,1,0.979,0.416,Asia,,,
Russia,0.696,0.724,0.997,0.98,0.085,,,Popu,
Singapore,0.702,0.752,0.977,0.971,0.11,Asia,,,
Sri Lanka,0.669,0.521,0.986,0.98,0.188,Asia,,,
Thailand,0.694,0.767,0.958,0.978,0.072,Asia,,,
Timor Leste,0.628,0.393,0.934,0.979,0.205,Asia,,,
United Kingdom,0.77,0.705,0.999,0.971,0.404,,GDP,,
United States,0.718,0.776,1,0.973,0.124,,GDP,Popu,
Vietnam,0.698,0.738,0.972,0.957,0.124,Asia,,,Social
Average,0.68,0.58,0.95,0.96,0.23,,,,
