Countries,Global,Econ,Edu,Health,Poli
China,0.674,0.654,0.963,0.918,0.16
Japan,0.657,0.58,0.991,0.98,0.078
Korea,0.65,0.533,0.96,0.973,0.134
Mongolia,0.713,0.776,0.993,0.98,0.102
Brunei,0.671,0.692,0.99,0.969,0.031
Cambodia,0.676,0.698,0.921,0.98,0.104
Timor Leste,0.628,0.393,0.934,0.979,0.205
Indonesia,0.691,0.61,0.986,0.976,0.193
Laos,0.703,0.769,0.933,0.974,0.137
Malaysia,0.67,0.654,0.991,0.977,0.058
Myanmar,0.691,0.754,0.975,0.976,0.059
Philippines,0.79,0.764,1,0.979,0.416
Singapore,0.702,0.752,0.977,0.971,0.11
Thailand,0.694,0.767,0.958,0.978,0.072
Vietnam,0.698,0.738,0.972,0.957,0.124
Bangladesh,0.719,0.465,0.954,0.966,0.493
Bhutan,0.638,0.622,0.916,0.959,0.056
India,0.669,0.376,0.952,0.942,0.407
Maldives,0.669,0.641,1,0.963,0.072
Nepal,0.664,0.599,0.936,0.969,0.155
Pakistan,0.546,0.309,0.802,0.948,0.127
Sri Lanka,0.669,0.521,0.986,0.98,0.188
