Countries,Edu,Category1,Category2,Category3,Category4
Bangladesh,0.954,Asia,,Popu,
Bhutan,0.916,Asia,,,
Brazil,1,,GDP,Popu,
Brunei,0.99,Asia,,,
Cambodia,0.921,Asia,,,
Canada,1,,GDP,,
China,0.963,,,,
Cuba,1,,,,Social
France,1,,GDP,,
Germany,0.97,,GDP,,
India,0.952,Asia,GDP,Popu,
Indonesia,0.986,Asia,,Popu,
Italy,0.995,,GDP,,
Japan,0.991,Asia,GDP,,
Korea,0.96,Asia,,,
Laos,0.933,Asia,,,Social
Malaysia,0.991,Asia,,,
Maldives,1,Asia,,,
Mexico,0.996,,,Popu,
Mongolia,0.993,Asia,,,
Myanmar,0.975,Asia,,,
Nepal,0.936,Asia,,,
Nigeria,0.813,,,Popu,
Pakistan,0.802,Asia,,Popu,
Philippines,1,Asia,,,
Russia,0.997,,,Popu,
Singapore,0.977,Asia,,,
Sri Lanka,0.986,Asia,,,
Thailand,0.958,Asia,,,
Timor Leste,0.934,Asia,,,
United Kingdom,0.999,,GDP,,
United States,1,,GDP,Popu,
Vietnam,0.972,Asia,,,Social
Average,0.95,,,,
