Countries,Edu,Health,Category1,Category2,Category3,Category4
Bangladesh,0.954,0.966,Asia,,Popu,
Bhutan,0.916,0.959,Asia,,,
Brazil,1,0.98,,GDP,Popu,
Brunei,0.99,0.969,Asia,,,
Cambodia,0.921,0.98,Asia,,,
Canada,1,0.97,,GDP,,
China,0.963,0.918,,,,
Cuba,1,0.97,,,,Social
France,1,0.977,,GDP,,
Germany,0.97,0.975,,GDP,,
India,0.952,0.942,Asia,GDP,Popu,
Indonesia,0.986,0.976,Asia,,Popu,
Italy,0.995,0.967,,GDP,,
Japan,0.991,0.98,Asia,GDP,,
Korea,0.96,0.973,Asia,,,
Laos,0.933,0.974,Asia,,,Social
Malaysia,0.991,0.977,Asia,,,
Maldives,1,0.963,Asia,,,
Mexico,0.996,0.977,,,Popu,
Mongolia,0.993,0.98,Asia,,,
Myanmar,0.975,0.976,Asia,,,
Nepal,0.936,0.969,Asia,,,
Nigeria,0.813,0.972,,,Popu,
Pakistan,0.802,0.948,Asia,,Popu,
Philippines,1,0.979,Asia,,,
Russia,0.997,0.98,,,Popu,
Singapore,0.977,0.971,Asia,,,
Sri Lanka,0.986,0.98,Asia,,,
Thailand,0.958,0.978,Asia,,,
Timor Leste,0.934,0.979,Asia,,,
United Kingdom,0.999,0.971,,GDP,,
United States,1,0.973,,GDP,Popu,
Vietnam,0.972,0.957,Asia,,,Social
