Countries,Edu,Poli,Category1,Category2,Category3,Category4
Bangladesh,0.954,0.493,Asia,,Popu,
Bhutan,0.916,0.056,Asia,,,
Brazil,1,0.101,,GDP,Popu,
Brunei,0.99,0.031,Asia,,,
Cambodia,0.921,0.104,Asia,,,
Canada,1,0.361,,GDP,,
China,0.963,0.16,,,,
Cuba,1,0.382,,,,Social
France,1,0.453,,GDP,,
Germany,0.97,0.447,,GDP,,
India,0.952,0.407,Asia,GDP,Popu,
Indonesia,0.986,0.193,Asia,,Popu,
Italy,0.995,0.234,,GDP,,
Japan,0.991,0.078,Asia,GDP,,
Korea,0.96,0.134,Asia,,,
Laos,0.933,0.137,Asia,,,Social
Malaysia,0.991,0.058,Asia,,,
Maldives,1,0.072,Asia,,,
Mexico,0.996,0.276,,,Popu,
Mongolia,0.993,0.102,Asia,,,
Myanmar,0.975,0.059,Asia,,,
Nepal,0.936,0.155,Asia,,,
Nigeria,0.813,0.052,,,Popu,
Pakistan,0.802,0.127,Asia,,Popu,
Philippines,1,0.416,Asia,,,
Russia,0.997,0.085,,,Popu,
Singapore,0.977,0.11,Asia,,,
Sri Lanka,0.986,0.188,Asia,,,
Thailand,0.958,0.072,Asia,,,
Timor Leste,0.934,0.205,Asia,,,
United Kingdom,0.999,0.404,,GDP,,
United States,1,0.124,,GDP,Popu,
Vietnam,0.972,0.124,Asia,,,Social
Average,0.95,0.23,,,,
