Countries,Health,Category1,Category2,Category3,Category4
Bangladesh,0.966,Asia,,Popu,
Bhutan,0.959,Asia,,,
Brazil,0.98,,GDP,Popu,
Brunei,0.969,Asia,,,
Cambodia,0.98,Asia,,,
Canada,0.97,,GDP,,
China,0.918,,,,
Cuba,0.97,,,,Social
France,0.977,,GDP,,
Germany,0.975,,GDP,,
India,0.942,Asia,GDP,Popu,
Indonesia,0.976,Asia,,Popu,
Italy,0.967,,GDP,,
Japan,0.98,Asia,GDP,,
Korea,0.973,Asia,,,
Laos,0.974,Asia,,,Social
Malaysia,0.977,Asia,,,
Maldives,0.963,Asia,,,
Mexico,0.977,,,Popu,
Mongolia,0.98,Asia,,,
Myanmar,0.976,Asia,,,
Nepal,0.969,Asia,,,
Nigeria,0.972,,,Popu,
Pakistan,0.948,Asia,,Popu,
Philippines,0.979,Asia,,,
Russia,0.98,,,Popu,
Singapore,0.971,Asia,,,
Sri Lanka,0.98,Asia,,,
Thailand,0.978,Asia,,,
Timor Leste,0.979,Asia,,,
United Kingdom,0.971,,GDP,,
United States,0.973,,GDP,Popu,
Vietnam,0.957,Asia,,,Social
Average,0.96,,,,
