Countries,Health,Poli,Category1,Category2,Category3,Category4
Bangladesh,0.966,0.493,Asia,,Popu,
Bhutan,0.959,0.056,Asia,,,
Brazil,0.98,0.101,,GDP,Popu,
Brunei,0.969,0.031,Asia,,,
Cambodia,0.98,0.104,Asia,,,
Canada,0.97,0.361,,GDP,,
China,0.918,0.16,,,,
Cuba,0.97,0.382,,,,Social
France,0.977,0.453,,GDP,,
Germany,0.975,0.447,,GDP,,
India,0.942,0.407,Asia,GDP,Popu,
Indonesia,0.976,0.193,Asia,,Popu,
Italy,0.967,0.234,,GDP,,
Japan,0.98,0.078,Asia,GDP,,
Korea,0.973,0.134,Asia,,,
Laos,0.974,0.137,Asia,,,Social
Malaysia,0.977,0.058,Asia,,,
Maldives,0.963,0.072,Asia,,,
Mexico,0.977,0.276,,,Popu,
Mongolia,0.98,0.102,Asia,,,
Myanmar,0.976,0.059,Asia,,,
Nepal,0.969,0.155,Asia,,,
Nigeria,0.972,0.052,,,Popu,
Pakistan,0.948,0.127,Asia,,Popu,
Philippines,0.979,0.416,Asia,,,
Russia,0.98,0.085,,,Popu,
Singapore,0.971,0.11,Asia,,,
Sri Lanka,0.98,0.188,Asia,,,
Thailand,0.978,0.072,Asia,,,
Timor Leste,0.979,0.205,Asia,,,
United Kingdom,0.971,0.404,,GDP,,
United States,0.973,0.124,,GDP,Popu,
Vietnam,0.957,0.124,Asia,,,Social
Average,0.96,0.23,,,,
