Countries,Poli,Category1,Category2,Category3,Category4
Bangladesh,0.493,Asia,,Popu,
Bhutan,0.056,Asia,,,
Brazil,0.101,,GDP,Popu,
Brunei,0.031,Asia,,,
Cambodia,0.104,Asia,,,
Canada,0.361,,GDP,,
China,0.16,,,,
Cuba,0.382,,,,Social
France,0.453,,GDP,,
Germany,0.447,,GDP,,
India,0.407,Asia,GDP,Popu,
Indonesia,0.193,Asia,,Popu,
Italy,0.234,,GDP,,
Japan,0.078,Asia,GDP,,
Korea,0.134,Asia,,,
Laos,0.137,Asia,,,Social
Malaysia,0.058,Asia,,,
Maldives,0.072,Asia,,,
Mexico,0.276,,,Popu,
Mongolia,0.102,Asia,,,
Myanmar,0.059,Asia,,,
Nepal,0.155,Asia,,,
Nigeria,0.052,,,Popu,
Pakistan,0.127,Asia,,Popu,
Philippines,0.416,Asia,,,
Russia,0.085,,,Popu,
Singapore,0.11,Asia,,,
Sri Lanka,0.188,Asia,,,
Thailand,0.072,Asia,,,
Timor Leste,0.205,Asia,,,
United Kingdom,0.404,,GDP,,
United States,0.124,,GDP,Popu,
Vietnam,0.124,Asia,,,Social
Average,0.23,,,,
