Countries,Econ,Category1,Category2,Category3,Category4
Bangladesh,0.465,Asia,,Popu,
Bhutan,0.622,Asia,,,
Brazil,0.655,,GDP,Popu,
Brunei,0.692,Asia,,,
Cambodia,0.698,Asia,,,
Canada,0.744,,GDP,,
China,0.654,,,,
Cuba,0.629,,,,Social
France,0.683,,GDP,,
Germany,0.72,,GDP,,
India,0.376,Asia,GDP,Popu,
Indonesia,0.61,Asia,,Popu,
Italy,0.571,,GDP,,
Japan,0.58,Asia,GDP,,
Korea,0.533,Asia,,,
Laos,0.769,Asia,,,Social
Malaysia,0.654,Asia,,,
Maldives,0.641,Asia,,,
Mexico,0.518,,,Popu,
Mongolia,0.776,Asia,,,
Myanmar,0.754,Asia,,,
Nepal,0.599,Asia,,,
Nigeria,0.728,,,Popu,
Pakistan,0.309,Asia,,Popu,
Philippines,0.764,Asia,,,
Russia,0.724,,,Popu,
Singapore,0.752,Asia,,,
Sri Lanka,0.521,Asia,,,
Thailand,0.767,Asia,,,
Timor Leste,0.393,Asia,,,
United Kingdom,0.705,,GDP,,
United States,0.776,,GDP,Popu,
Vietnam,0.738,Asia,,,Social
Average,0.58,,,,
