Countries,Econ,Poli,Category1,Category2,Category3,Category4
Bangladesh,0.465,0.493,Asia,,Popu,
Bhutan,0.622,0.056,Asia,,,
Brazil,0.655,0.101,,GDP,Popu,
Brunei,0.692,0.031,Asia,,,
Cambodia,0.698,0.104,Asia,,,
Canada,0.744,0.361,,GDP,,
China,0.654,0.16,,,,
Cuba,0.629,0.382,,,,Social
France,0.683,0.453,,GDP,,
Germany,0.72,0.447,,GDP,,
India,0.376,0.407,Asia,GDP,Popu,
Indonesia,0.61,0.193,Asia,,Popu,
Italy,0.571,0.234,,GDP,,
Japan,0.58,0.078,Asia,GDP,,
Korea,0.533,0.134,Asia,,,
Laos,0.769,0.137,Asia,,,Social
Malaysia,0.654,0.058,Asia,,,
Maldives,0.641,0.072,Asia,,,
Mexico,0.518,0.276,,,Popu,
Mongolia,0.776,0.102,Asia,,,
Myanmar,0.754,0.059,Asia,,,
Nepal,0.599,0.155,Asia,,,
Nigeria,0.728,0.052,,,Popu,
Pakistan,0.309,0.127,Asia,,Popu,
Philippines,0.764,0.416,Asia,,,
Russia,0.724,0.085,,,Popu,
Singapore,0.752,0.11,Asia,,,
Sri Lanka,0.521,0.188,Asia,,,
Thailand,0.767,0.072,Asia,,,
Timor Leste,0.393,0.205,Asia,,,
United Kingdom,0.705,0.404,,GDP,,
United States,0.776,0.124,,GDP,Popu,
Vietnam,0.738,0.124,Asia,,,Social
Average,0.58,0.23,,,,
