Cube,Store1,Store2,Store3,Store4,Store5,Store6,Store7
1,EnvScore,EnvScore,EnvScore,EnvScore,EnvScore,EnvScore,EnvScore
2,EnvScore,EnvScore,EnvScore,EnvScore,EnvScore,EnvScore,EnvScore
3,EnvScore,EnvScore,EnvScore,EnvScore,EnvScore,NA,NA
4,EnvScore,NA,NA,EnvScore,EnvScore,NA,NA
5,AvaScore,AvaScore,AvaScore,AvaScore,AvaScore,AvaScore,AvaScore
6,AvaScore,AvaScore,AvaScore,AvaScore,AvaScore,AvaScore,AvaScore
7,AvaScore,NA,AvaScore,AvaScore,NA,AvaScore,AvaScore
8,NA,NA,AvaScore,AvaScore,NA,AvaScore,NA
9,RestScore,RestScore,RestScore,RestScore,RestScore,RestScore,RestScore
10,RestScore,RestScore,NA,RestScore,RestScore,RestScore,RestScore
11,NA,RestScore,NA,RestScore,NA,NA,RestScore
12,NA,NA,NA,RestScore,NA,NA,NA
