Year,Male,Female,Degree
2010,33173,21631,Highschool
2011,33495,22046,Highschool
2012,33048,22137,Highschool
2013,32888,22245,Highschool
2014,33336,22377,Highschool
2015,33235,22345,Highschool
2010,22792,14645,Less Highschool
2011,23002,14966,Less Highschool
2012,22728,15052,Less Highschool
2013,22676,15235,Less Highschool
2014,23104,15369,Less Highschool
2015,23668,15510,Less Highschool
2010,41530,27701,Associate
2011,41630,28249,Associate
2012,41749,28324,Associate
2013,41520,28279,Associate
2014,41506,28393,Associate
2015,41407,28285,Associate
2010,59922,40313,Bachelor
2011,60951,41046,Bachelor
2012,61224,41602,Bachelor
2013,61250,41814,Bachelor
2014,61619,41917,Bachelor
2015,61589,41763,Bachelor
2010,80111,53023,Graduate
2011,82216,54539,Graduate
2012,83141,55344,Graduate
2013,83609,55768,Graduate
2014,84137,56185,Graduate
2015,84006,56181,Graduate
2010,41354,28514,All
2011,41661,29422,All
2012,42015,29831,All
2013,42016,30182,All
2014,42137,30481,All
2015,42106,30602,All
