Degree,Income,Year
Less than high school graduate,14645,2010
High school graduate (includes equivalency),21631,2010
Some college or associate's degree,27701,2010
Bachelor's degree,40313,2010
Graduate or professional degree,53023,2010
All,28514,2010
Less than high school graduate,14966,2011
High school graduate (includes equivalency),22046,2011
Some college or associate's degree,28249,2011
Bachelor's degree,41046,2011
Graduate or professional degree,54539,2011
All,29422,2011
Less than high school graduate,15052,2012
High school graduate (includes equivalency),22137,2012
Some college or associate's degree,28324,2012
Bachelor's degree,41602,2012
Graduate or professional degree,55344,2012
All,29831,2012
Less than high school graduate,15235,2013
High school graduate (includes equivalency),22245,2013
Some college or associate's degree,28279,2013
Bachelor's degree,41814,2013
Graduate or professional degree,55768,2013
All,30182,2013
Less than high school graduate,15369,2014
High school graduate (includes equivalency),22377,2014
Some college or associate's degree,28393,2014
Bachelor's degree,41917,2014
Graduate or professional degree,56185,2014
All,30481,2014
Less than high school graduate,15510,2015
High school graduate (includes equivalency),22345,2015
Some college or associate's degree,28285,2015
Bachelor's degree,41763,2015
Graduate or professional degree,56181,2015
All,30602,2015
,,
,,
,,
,,
