Degree,Income,Year
Less than high school graduate,22792,2010
High school graduate (includes equivalency),33173,2010
Some college or associate's degree,41530,2010
Bachelor's degree,59922,2010
Graduate or professional degree,80111,2010
All,41354,2010
Less than high school graduate,23002,2011
High school graduate (includes equivalency),33495,2011
Some college or associate's degree,41630,2011
Bachelor's degree,60951,2011
Graduate or professional degree,82216,2011
All,41661,2011
Less than high school graduate,22728,2012
High school graduate (includes equivalency),33048,2012
Some college or associate's degree,41749,2012
Bachelor's degree,61224,2012
Graduate or professional degree,83141,2012
All,42015,2012
Less than high school graduate,22676,2013
High school graduate (includes equivalency),32888,2013
Some college or associate's degree,41520,2013
Bachelor's degree,61250,2013
Graduate or professional degree,83609,2013
All,42016,2013
Less than high school graduate,23104,2014
High school graduate (includes equivalency),33336,2014
Some college or associate's degree,41506,2014
Bachelor's degree,61619,2014
Graduate or professional degree,84137,2014
All,42137,2014
Less than high school graduate,23668,2015
High school graduate (includes equivalency),33235,2015
Some college or associate's degree,41407,2015
Bachelor's degree,61589,2015
Graduate or professional degree,84006,2015
All,42106,2015
