Degree,Male,Female,Year
Less than high school graduate,22792,14645,2010
High school graduate (includes equivalency),33173,21631,2010
Some college or associate's degree,41530,27701,2010
Bachelor's degree,59922,40313,2010
Graduate or professional degree,80111,53023,2010
All,41354,28514,2010
Less than high school graduate,23002,14966,2011
High school graduate (includes equivalency),33495,22046,2011
Some college or associate's degree,41630,28249,2011
Bachelor's degree,60951,41046,2011
Graduate or professional degree,82216,54539,2011
All,41661,29422,2011
Less than high school graduate,22728,15052,2012
High school graduate (includes equivalency),33048,22137,2012
Some college or associate's degree,41749,28324,2012
Bachelor's degree,61224,41602,2012
Graduate or professional degree,83141,55344,2012
All,42015,29831,2012
Less than high school graduate,22676,15235,2013
High school graduate (includes equivalency),32888,22245,2013
Some college or associate's degree,41520,28279,2013
Bachelor's degree,61250,41814,2013
Graduate or professional degree,83609,55768,2013
All,42016,30182,2013
Less than high school graduate,23104,15369,2014
High school graduate (includes equivalency),33336,22377,2014
Some college or associate's degree,41506,28393,2014
Bachelor's degree,61619,41917,2014
Graduate or professional degree,84137,56185,2014
All,42137,30481,2014
Less than high school graduate,23668,15510,2015
High school graduate (includes equivalency),33235,22345,2015
Some college or associate's degree,41407,28285,2015
Bachelor's degree,61589,41763,2015
Graduate or professional degree,84006,56181,2015
All,42106,30602,2015
