State,2015,2014,2013,2012,2011,2010
Alabama,717,715,705,691,674,644
Alaska,1146,1131,1098,1065,1017,972
Arizona,913,905,896,891,881,856
Arkansas,677,675,661,649,637,617
California,1255,1243,1224,1209,1185,1147
Colorado,1002,969,939,915,883,852
Connecticut,1075,1069,1056,1044,1020,982
Delaware,1018,1012,999,985,975,938
District of Columbia,1327,1302,1242,1200,1135,1063
Florida,1002,998,990,987,981,957
Georgia,879,874,860,849,835,808
Hawaii,1438,1417,1380,1354,1313,1260
Idaho,743,738,728,720,709,689
Illinois,907,903,890,877,860,834
Indiana,745,741,730,719,704,683
Iowa,697,689,670,655,637,617
Kansas,757,748,732,715,699,671
Kentucky,675,667,655,638,623,601
Louisiana,788,786,773,762,745,712
Maine,777,772,764,750,736,707
Maryland,1230,1218,1196,1172,1139,1091
Massachusetts,1102,1088,1069,1056,1037,1006
Michigan,783,780,768,755,742,723
Minnesota,848,835,819,802,783,759
Mississippi,717,714,702,688,680,648
Missouri,746,740,727,712,693,667
Montana,711,696,682,667,649,629
Nebraska,726,721,706,687,672,648
Nevada,973,980,986,1001,1011,998
New Hampshire,1000,1001,987,972,956,933
New Jersey,1192,1188,1172,1154,1131,1092
New Mexico,777,774,758,736,713,683
New York,1132,1117,1088,1061,1025,977
North Carolina,797,790,776,759,744,718
North Dakota,709,676,645,610,584,555
Ohio,730,729,718,710,697,678
Oklahoma,727,717,699,679,659,633
Oregon,907,894,875,854,830,795
Pennsylvania,840,832,813,794,770,739
Rhode Island,925,923,918,908,901,882
South Carolina,790,784,768,749,728,701
South Dakota,655,648,632,617,595,574
Tennessee,764,757,742,726,707,678
Texas,882,870,851,834,814,786
Utah,887,875,856,839,813,781
Vermont,895,889,875,864,843,809
Virginia,1116,1108,1087,1060,1024,970
Washington,1014,995,973,951,923,882
West Virginia,643,630,611,594,574,549
Wisconsin,776,772,759,749,735,713
Wyoming,789,778,764,733,708,666
Puerto Rico,456,462,454,449,438,425
