id,State,Rent,IncreaseRate
1,Alabama,717,0.11
2,Alaska,1146,0.18
4,Arizona,913,0.07
5,Arkansas,677,0.1
6,California,1255,0.09
8,Colorado,1002,0.18
9,Connecticut,1075,0.09
10,Delaware,1018,0.09
11,District of Columbia,1327,0.25
12,Florida,1002,0.05
13,Georgia,879,0.09
15,Hawaii,1438,0.14
16,Idaho,743,0.08
17,Illinois,907,0.09
18,Indiana,745,0.09
19,Iowa,697,0.13
20,Kansas,757,0.13
21,Kentucky,675,0.12
22,Louisiana,788,0.11
23,Maine,777,0.1
24,Maryland,1230,0.13
25,Massachusetts,1102,0.1
26,Michigan,783,0.08
27,Minnesota,848,0.12
28,Mississippi,717,0.11
29,Missouri,746,0.12
30,Montana,711,0.13
73,National Average,880,0.12
31,Nebraska,726,0.12
32,Nevada,973,-0.03
33,New Hampshire,1000,0.07
34,New Jersey,1192,0.09
35,New Mexico,777,0.14
36,New York,1132,0.16
37,North Carolina,797,0.11
38,North Dakota,709,0.28
39,Ohio,730,0.08
40,Oklahoma,727,0.15
41,Oregon,907,0.14
42,Pennsylvania,840,0.14
72,Puerto Rico,456,0.07
44,Rhode Island,925,0.05
45,South Carolina,790,0.13
46,South Dakota,655,0.14
47,Tennessee,764,0.13
48,Texas,882,0.12
49,Utah,887,0.14
50,Vermont,895,0.11
51,Virginia,1116,0.15
53,Washington,1014,0.15
54,West Virginia,643,0.17
55,Wisconsin,776,0.09
56,Wyoming,789,0.18
