Year,State,Number,stateName
2008,AZ,1,Arizona
2008,CA,8,California
2008,CT,1,Connecticut
2008,FL,2,Florida
2008,LA,1,Los Angeles
2008,MI,1,Michigan
2008,NJ,2,New Jersey
2008,NY,2,New York
2008,PA,1,Pennsylvania
2008,TX,3,Texas
2009,AZ,3,Arizon
2009,CA,12,California
2009,FL,1,Florida
2009,GA,3,Georgia
2009,ID,2,Idaho
2009,KY,1,Kentucky
2009,MA,3,Massachusetts
2009,NC,2,North Carolina
2009,NE,2,Nebraska
2009,,2,
2009,NV,2,Nevada
2009,OH,1,Ohio
2009,OR,2,Oregon
2009,TN,2,Tennessee
2009,TX,4,Texas
2009,UT,1,Utah
2009,VA,2,Virginia
2009,WA,3,Washington
2009,WI,1,Wisconsin
2010,AL,1,Alabama
2010,CA,8,California
2010,CO,3,Colorado
2010,DE,1,Delaware
2010,FL,1,Florida
2010,GA,2,Georgia
2010,IN,3,Indiana
2010,KY,1,Kentucky
2010,MA,2,Massachusetts
2010,MD,5,Maryland
2010,MI,4,Michigan
2010,MO,1,Missouri
2010,MT,1,Montana
2010,NC,1,North Carolina
2010,NE,1,Nebraska
2010,NJ,1,New Jersey
2010,NM,1,New Mexico
2010,NY,4,New York
2010,OH,1,Ohio
2010,OR,1,Oregon
2010,TN,1,Tennessee
2010,TX,4,Texas
2010,VA,4,Virginia
2011,AL,2,Alabama
2011,AZ,2,Arizona
2011,CA,15,California
2011,CT,2,Connecticut
2011,FL,3,Florida
2011,GA,1,Georgia
2011,IL,2,Illinois
2011,IN,1,Indiana
2011,KS,1,Kansas
2011,MA,1,Massachusetts
2011,MD,2,Maryland
2011,ME,1,Maine
2011,MI,4,Michigan
2011,MO,2,Missouri
2011,NE,1,Nebraska
2011,NJ,1,New Jersey
2011,NM,1,New Mexico
2011,NV,2,Nevada
2011,NY,1,New York
2011,PA,1,Pennsylvania
2011,SC,3,South Carolina
2011,TN,1,Tennessee
2011,TX,4,Texas
2011,VA,4,Virginia
2011,VT,1,Vermont
2011,WA,4,Washington
2011,WV,1,West Virginia
2012,AL,1,Alabama
2012,AZ,1,Arizona
2012,CA,15,California
2012,CO,1,Colorado
2012,FL,3,Florida
2012,ID,1,Indiana
2012,KS,3,Kansas
2012,KY,1,Kentucky
2012,LA,2,Los Angeles
2012,MD,1,Maryland
2012,MI,2,Michigan
2012,MO,1,Missouri
2012,NC,1,North Carolina
2012,NM,1,New Mexico
2012,NV,1,Nevada
2012,NY,5,New York
2012,OK,1,Oklahoma
2012,TN,2,Tennessee
2012,TX,3,Texas
2012,UT,1,Utah
2012,VA,1,Virginia
2013,AK,1,Alaska
2013,AL,1,Alabama
2013,AR,1,Arkansas
2013,CA,11,California
2013,CO,3,Colorado
2013,FL,7,Florida
2013,IA,1,Iowa
2013,IL,2,Illinois
2013,MA,1,Massachusetts
2013,MD,1,Maryland
2013,MI,2,Michigan
2013,NC,1,North Carolina
2013,ND,1,North Dakota
2013,NJ,4,New Jersey
2013,NV,1,Nevada
2013,NY,2,New York
2013,OK,1,Oklahoma
2013,PA,5,Pennsylvania
2013,TX,3,Texas
2013,VA,5,Virginia
2013,WA,2,Washington
2013,WI,1,Wisconsin
2013,WY,1,Wyoming
2014,,1,
2014,AR,1,Arizona
2014,CA,22,California
2014,CO,2,Colorado
2014,DC,1,District of Columbia
2014,FL,10,Florida
2014,HI,2,Hawaii
2014,IL,1,Illinois
2014,IN,1,Indiana
2014,KS,2,Kansas
2014,KY,3,Kentucky
2014,LA,1,Los Angeles
2014,MA,2,Massachusetts
2014,MD,3,Maryland
2014,MI,6,Michigan
2014,MN,1,Minnesota
2014,MS,2,Mississippi
2014,NC,4,North Carolina
2014,NJ,2,New Jersey
2014,NV,2,Nevada
2014,OH,1,Ohio
2014,OR,1,Oregon
2014,PA,3,Pennsylvania
2014,SC,1,South Carolina
2014,TX,3,Texas
2014,UT,1,Utah
2014,VA,4,Virginia
2014,WA,2,Washington
2014,WI,3,Wisconsin
2015,AL,2,Alabama
2015,AR,1,Arizona
2015,AZ,5,Arizona
2015,CA,53,California
2015,CO,4,Colorado
2015,CT,2,Connecticut
2015,FL,16,Florida
2015,GA,8,Georgia
2015,HI,2,Hawaii
2015,ID,2,Indiana
2015,IL,6,Illinois
2015,IN,3,Indiana
2015,KS,1,Kansas
2015,KY,3,Kentucky
2015,MA,9,Massachusetts
2015,MD,6,Maryland
2015,MI,6,Michigan
2015,MN,3,Minnesota
2015,MO,1,Missouri
2015,MS,1,Mississippi
2015,NC,4,North Carolina
2015,NE,2,Nebraska
2015,NJ,3,New Jersey
2015,NM,3,New Mexico
2015,NV,4,Nevada
2015,NY,7,New York
2015,OH,4,Ohio
2015,OK,4,Oklahoma
2015,OR,2,Oregon
2015,PA,1,Pennsylvania
2015,SC,3,South Carolina
2015,TN,9,Tennessee
2015,TX,14,Texas
2015,UT,3,Utah
2015,VA,3,Virginia
2015,WA,2,Washington
2015,WI,1,Wisconsin
2015,WY,1,Wyoming
2016,,2,
2016,AK,3,Alaska
2016,AL,5,Alabama
2016,AR,9,Arizona
2016,AZ,20,Arizona
2016,CA,144,California
2016,CO,20,Colorado
2016,CT,2,Connecticut
2016,DC,1,District of Columbia
2016,DE,2,Delaware
2016,FL,96,Florida
2016,GA,40,Georgia
2016,HI,1,Hawaii
2016,ID,4,Indiana
2016,IL,43,Illinois
2016,IN,30,Indiana
2016,KS,4,Kansas
2016,KY,8,Kentucky
2016,LA,9,Los Angeles
2016,MA,49,Massachusetts
2016,MD,10,Maryland
2016,MI,22,Michigan
2016,MN,14,Minnesota
2016,MO,9,Missouri
2016,MS,2,Mississippi
2016,NC,15,North Carolina
2016,ND,1,North Dakota
2016,NE,12,Nebraska
2016,NH,2,New Hampshire
2016,NJ,10,New Jersey
2016,NM,6,New Mexico
2016,,1,
2016,NV,19,Nevada
2016,NY,32,New York
2016,OH,37,Ohio
2016,OK,29,Oklahoma
2016,OR,15,Oregon
2016,PA,26,Pennsylvania
2016,SC,10,South Carolina
2016,SD,1,South Dakota
2016,TN,15,Tennessee
2016,TX,104,Texas
2016,UT,3,Utah
2016,VA,13,Virginia
2016,WA,12,Washington
2016,WI,6,Wisconsin
2016,WV,1,West Virginia
2017,AL,1,Alabama
2017,AR,2,Arizona
2017,AZ,8,Arizona
2017,CA,38,California
2017,CO,17,Colorado
2017,CT,6,Connecticut
2017,DC,1,District of Columbia
2017,DE,4,Delaware
2017,FL,56,Florida
2017,GA,13,Georgia
2017,ID,1,Indiana
2017,IL,19,Illinois
2017,IN,7,Indiana
2017,KS,1,Kansas
2017,KY,4,Kentucky
2017,LA,3,Los Angeles
2017,MA,17,Massachusetts
2017,MD,6,Maryland
2017,MI,5,Michigan
2017,MN,2,Minnesota
2017,MO,9,Missouri
2017,MT,1,Montana
2017,NC,6,North Carolina
2017,NE,9,Nebraska
2017,NH,2,New Hampshire
2017,NJ,1,New Jersey
2017,NM,6,New Mexico
2017,NV,9,Nevada
2017,NY,13,New York
2017,OH,32,Ohio
2017,OK,11,Oklahoma
2017,OR,7,Oregon
2017,PA,16,Pennsylvania
2017,SC,6,South Carolina
2017,SD,1,South Dakota
2017,TN,11,Tennessee
2017,TX,50,Texas
2017,UT,2,Utah
2017,VA,8,Virginia
2017,WA,10,Washington
2017,WI,11,Wisconsin
