Id,Id2,Geography,"April 1, 2010 - Census","April 1, 2010 - Estimates Base",Population Estimate (as of July 1) - 2016
0100000US,,United States,308745538,308758105,323127513
0200000US1,1,Northeast Region,55317240,55318353,56209510
0200000US2,2,Midwest Region,66927001,66929825,67941429
0200000US3,3,South Region,114555744,114563005,122319574
0200000US4,4,West Region,71945553,71946922,76657000
0400000US01,1,Alabama,4779736,4780131,4863300
0400000US02,2,Alaska,710231,710249,741894
0400000US04,4,Arizona,6392017,6392301,6931071
0400000US05,5,Arkansas,2915918,2916025,2988248
0400000US06,6,California,37253956,37254522,39250017
0400000US08,8,Colorado,5029196,5029324,5540545
0400000US09,9,Connecticut,3574097,3574114,3576452
0400000US10,10,Delaware,897934,897936,952065
0400000US11,11,District of Columbia,601723,601766,681170
0400000US12,12,Florida,18801310,18804592,20612439
0400000US13,13,Georgia,9687653,9688680,10310371
0400000US15,15,Hawaii,1360301,1360301,1428557
0400000US16,16,Idaho,1567582,1567650,1683140
0400000US17,17,Illinois,12830632,12831574,12801539
0400000US18,18,Indiana,6483802,6484136,6633053
0400000US19,19,Iowa,3046355,3046869,3134693
0400000US20,20,Kansas,2853118,2853129,2907289
0400000US21,21,Kentucky,4339367,4339344,4436974
0400000US22,22,Louisiana,4533372,4533479,4681666
0400000US23,23,Maine,1328361,1328364,1331479
0400000US24,24,Maryland,5773552,5773786,6016447
0400000US25,25,Massachusetts,6547629,6547813,6811779
0400000US26,26,Michigan,9883640,9884129,9928300
0400000US27,27,Minnesota,5303925,5303924,5519952
0400000US28,28,Mississippi,2967297,2968103,2988726
0400000US29,29,Missouri,5988927,5988928,6093000
0400000US30,30,Montana,989415,989414,1042520
0400000US31,31,Nebraska,1826341,1826334,1907116
0400000US32,32,Nevada,2700551,2700691,2940058
0400000US33,33,New Hampshire,1316470,1316461,1334795
0400000US34,34,New Jersey,8791894,8791953,8944469
0400000US35,35,New Mexico,2059179,2059198,2081015
0400000US36,36,New York,19378102,19378110,19745289
0400000US37,37,North Carolina,9535483,9535688,10146788
0400000US38,38,North Dakota,672591,672591,757952
0400000US39,39,Ohio,11536504,11536727,11614373
0400000US40,40,Oklahoma,3751351,3751615,3923561
0400000US41,41,Oregon,3831074,3831072,4093465
0400000US42,42,Pennsylvania,12702379,12702857,12784227
0400000US44,44,Rhode Island,1052567,1052940,1056426
0400000US45,45,South Carolina,4625364,4625410,4961119
0400000US46,46,South Dakota,814180,814195,865454
0400000US47,47,Tennessee,6346105,6346298,6651194
0400000US48,48,Texas,25145561,25146100,27862596
0400000US49,49,Utah,2763885,2763888,3051217
0400000US50,50,Vermont,625741,625741,624594
0400000US51,51,Virginia,8001024,8001041,8411808
0400000US53,53,Washington,6724540,6724545,7288000
0400000US54,54,West Virginia,1852994,1853011,1831102
0400000US55,55,Wisconsin,5686986,5687289,5778708
0400000US56,56,Wyoming,563626,563767,585501
0400000US72,72,Puerto Rico,3725789,3726157,3411307
