Museum,Visitors,Category,Year,Period
National Portrait Gallery ,527000,Art,1968,Before 2000
African American Museum ,1000000,Culture,2016,After 2000
National Museum of African Art ,67000,Art,1987,Before 2000
National Air and Space Museum ,2800000,Science,1976,Before 2000
Steven F. Udvar-Hazy Center ,595000,Science,2003,After 2000
National Museum of American History ,1800000,Culture,1964,Before 2000
National Museum of the American Indian,372000,Culture,2004,After 2000
Anacostia Community Museum ,13000,Culture,1967,Before 2000
Arts and Industries Building ,800,Art,1881,Before 1900
National Design Museum ,136000,Art,1897,Before 1900
Hirshhorn Museum and Sculpture Garden ,595000,Art,1974,Before 2000
National Museum of Natural History ,2600000,Science,1911,Before 2000
Renwick Gallery ,146000,Art,1972,Before 2000
S. Dillon Ripley Center ,69000,Art,1968,Before 2000
Smithsonian Institution Building ,476000,Other,1855,Before 1900
Arthur M. Sackler Gallery ,114000,Art,1987,Before 2000
National Postal Museum ,194000,Culture,1993,Before 2000
National Zoo ,774000,Animal,1889,Before 1900
