Name,Counrties,Headphone
USA,USA,130330
Australia,Australia,84540
England,UK,20580
Germany,Germany,4540
France,France,0
Italy,Italy,2100
Chile,Chile,33580
Brazil,Brazil,1570
Peru,Peru,0
Mexico,Mexico,0
Canada,Canada,0
Afghanistan,Afghanistan,0
Angola,Angola,0
Albania,Albania,0
United Arab Emirates,United Arab Emirates,0
Argentina,Argentina,0
Armenia,Armenia,0
Antarctica,Antarctica,0
French Southern and Antarctic Lands,French Southern and Antarctic Lands,0
Austria,Austria,0
Azerbaijan,Azerbaijan,0
Burundi,Burundi,0
Belgium,Belgium,0
Benin,Benin,0
Burkina Faso,Burkina Faso,0
Bangladesh,Bangladesh,0
Bulgaria,Bulgaria,0
The Bahamas,The Bahamas,0
Bosnia and Herzegovina,Bosnia and Herzegovina,0
Belarus,Belarus,0
Belize,Belize,0
Bolivia,Bolivia,0
Brunei,Brunei,0
Bhutan,Bhutan,0
Botswana,Botswana,0
Central African Republic,Central African Republic,0
Switzerland,Switzerland,0
China,China,0
Ivory Coast,Ivory Coast,0
Cameroon,Cameroon,0
Democratic Republic of the Congo,Democratic Republic of the Congo,0
Republic of the Congo,Republic of the Congo,0
Colombia,Colombia,0
Costa Rica,Costa Rica,0
Cuba,Cuba,0
Northern Cyprus,Northern Cyprus,0
Cyprus,Cyprus,0
Czech Republic,Czech Republic,0
Djibouti,Djibouti,0
Denmark,Denmark,0
Dominican Republic,Dominican Republic,0
Algeria,Algeria,0
Ecuador,Ecuador,0
Egypt,Egypt,0
Eritrea,Eritrea,0
Spain,Spain,0
Estonia,Estonia,0
Ethiopia,Ethiopia,0
Finland,Finland,0
Fiji,Fiji,0
Falkland Islands,Falkland Islands,0
Gabon,Gabon,0
Georgia,Georgia,0
Ghana,Ghana,0
Guinea,Guinea,0
Gambia,Gambia,0
Guinea Bissau,Guinea Bissau,0
Equatorial Guinea,Equatorial Guinea,0
Greece,Greece,0
Greenland,Greenland,0
Guatemala,Guatemala,0
Guyana,Guyana,0
Honduras,Honduras,0
Croatia,Croatia,0
Haiti,Haiti,0
Hungary,Hungary,0
Indonesia,Indonesia,0
India,India,0
Ireland,Ireland,0
Iran,Iran,0
Iraq,Iraq,0
Iceland,Iceland,0
Israel,Israel,0
Jamaica,Jamaica,0
Jordan,Jordan,0
Japan,Japan,0
Kazakhstan,Kazakhstan,0
Kenya,Kenya,0
Kyrgyzstan,Kyrgyzstan,0
Cambodia,Cambodia,0
South Korea,South Korea,0
Kosovo,Kosovo,0
Kuwait,Kuwait,0
Laos,Laos,0
Lebanon,Lebanon,0
Liberia,Liberia,0
Libya,Libya,0
Sri Lanka,Sri Lanka,0
Lesotho,Lesotho,0
Lithuania,Lithuania,0
Luxembourg,Luxembourg,0
Latvia,Latvia,0
Morocco,Morocco,0
Moldova,Moldova,0
Madagascar,Madagascar,0
Macedonia,Macedonia,0
Mali,Mali,0
Myanmar,Myanmar,0
Montenegro,Montenegro,0
Mongolia,Mongolia,0
Mozambique,Mozambique,0
Mauritania,Mauritania,0
Malawi,Malawi,0
Malaysia,Malaysia,0
Namibia,Namibia,0
New Caledonia,New Caledonia,0
Niger,Niger,0
Nigeria,Nigeria,0
Nicaragua,Nicaragua,0
Netherlands,Netherlands,0
Norway,Norway,0
Nepal,Nepal,0
New Zealand,New Zealand,0
Oman,Oman,0
Pakistan,Pakistan,0
Panama,Panama,0
Philippines,Philippines,0
Papua New Guinea,Papua New Guinea,0
Poland,Poland,0
Puerto Rico,Puerto Rico,0
North Korea,North Korea,0
Portugal,Portugal,0
Paraguay,Paraguay,0
Qatar,Qatar,0
Romania,Romania,0
Russia,Russia,0
Rwanda,Rwanda,0
Western Sahara,Western Sahara,0
Saudi Arabia,Saudi Arabia,0
Sudan,Sudan,0
South Sudan,South Sudan,0
Senegal,Senegal,0
Solomon Islands,Solomon Islands,0
Sierra Leone,Sierra Leone,0
El Salvador,El Salvador,0
Somaliland,Somaliland,0
Somalia,Somalia,0
Republic of Serbia,Republic of Serbia,0
Suriname,Suriname,0
Slovakia,Slovakia,0
Slovenia,Slovenia,0
Sweden,Sweden,0
Swaziland,Swaziland,0
Syria,Syria,0
Chad,Chad,0
Togo,Togo,0
Thailand,Thailand,0
Tajikistan,Tajikistan,0
Turkmenistan,Turkmenistan,0
East Timor,East Timor,0
Trinidad and Tobago,Trinidad and Tobago,0
Tunisia,Tunisia,0
Turkey,Turkey,0
Taiwan,Taiwan,0
United Republic of Tanzania,United Republic of Tanzania,0
Uganda,Uganda,0
Ukraine,Ukraine,0
Uruguay,Uruguay,0
Uzbekistan,Uzbekistan,0
Venezuela,Venezuela,0
Vietnam,Vietnam,0
Vanuatu,Vanuatu,0
West Bank,West Bank,0
Yemen,Yemen,0
South Africa,South Africa,0
Zambia,Zambia,0
Zimbabwe,Zimbabwe,0
