Country Name,Country Code,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Afghanistan,AFG,389.4163578,397.9859047,440.3681553,444.9501379,524.8235332,553.3002894,569.2333877,630.4274126,621.8180785,610.2419243,599.1351958
Angola,AGO,2364.194266,2754.413637,3258.475279,3578.872806,3536.798296,3529.053482,3538.715685,3591.027438,3702.59918,3747.56836,3730.169063
Albania,ALB,3077.679737,3265.365622,3484.254111,3775.478444,3928.340828,4094.358832,4210.075595,4276.91621,4332.320017,4419.442634,4547.128439
Andorra,AND,48718.16517,49615.82006,48638.42439,43833.80535,41860.24031,39627.66352,38038.88003,37967.80257,38715.35514,,
Arab World,ARB,5378.379169,5594.898519,5711.663247,5898.516152,5782.42247,5916.329624,5986.728791,6153.876337,6238.020811,6282.349489,6366.423081
United Arab Emirates,ARE,56199.02927,53926.5971,48260.01091,43658.94478,37203.39799,35049.14832,35550.83127,36408.49755,38064.00442,39034.37628,40159.55787
Argentina,ARG,8522.522732,9112.113163,9830.68092,10125.12627,9428.502541,10276.2605,10780.01566,10557.88539,10699.19772,10323.20694,10490.01957
Armenia,ARM,2571.985756,2933.833478,3366.162187,3629.157702,3136.811727,3218.381655,3371.672831,3606.480554,3710.575743,3827.343195,3927.662244
American Samoa,ASM,10644.58107,10282.45659,10619.61365,10500.38584,10199.06015,10352.82276,10442.7265,10000.31107,9665.233444,9779.883487,9868.88211
Antigua and Barbuda,ATG,12752.28128,14218.25652,15355.42682,15180.51051,13196.06028,12126.87614,11781.36908,12099.73492,11946.2813,12363.31513,12738.53004
Australia,AUS,48702.73469,49418.68632,50952.46704,51788.44015,51651.22326,51874.08048,52372.15454,53348.38897,53798.35851,54394.33427,54941.91146
Austria,AUT,44474.13174,45737.51587,47240.5278,47821.52764,45884.39871,46657.0629,47805.77718,47943.20158,47723.18958,47681.16746,47629.61755
Azerbaijan,AZE,2949.442818,3923.658154,4851.176909,5262.101356,5639.001689,5842.805784,5770.969703,5820.079847,6078.320649,6122.980489,6117.030862
Burundi,BDI,219.1865502,223.4035903,226.3044415,229.8347014,230.0531709,231.1943256,233.518126,235.7052879,239.3310654,243.1019118,226.5663086
Belgium,BEL,43068.72783,43854.86908,45013.07378,44992.61054,43612.15991,44380.23741,44555.36571,44293.67325,44050.04268,44670.37007,45067.82917
Benin,BEN,723.1999594,730.2752556,752.2152147,767.0573788,763.1050141,757.6959074,758.5775214,773.1370262,805.9449407,833.6624874,827.8459673
Burkina Faso,BFA,497.4603966,513.0019257,525.9312205,547.4811408,546.8931582,575.4464527,594.8064045,614.4906813,613.2279513,620.250852,626.3621944
Bangladesh,BGD,598.6174259,630.04818,666.4014472,698.564892,725.76626,757.6717572,797.4116804,839.5136872,879.5819661,922.161128,971.641988
Bulgaria,BGR,5678.047944,6107.706804,6625.028733,7048.445874,6794.656687,6843.263289,7019.178015,7062.137117,7162.994824,7299.552445,7612.024948
Bahrain,BHR,22066.07113,21796.01514,21838.07457,21563.65067,20797.00522,20722.10389,20514.75639,20921.19971,21799.65217,22390.68285,22436.20753
"Bahamas, The",BHS,24305.99067,24429.44575,24312.40063,23314.99417,21951.14664,21921.55906,21710.58999,22050.20215,21748.92669,21355.23104,20748.69613
Bosnia and Herzegovina,BIH,3946.056679,4160.563103,4405.285059,4659.602793,4546.459775,4611.470298,4695.258308,4703.290478,4873.608235,4980.20791,5173.994241
Belarus,BLR,4165.047007,4609.690433,5029.147067,5561.296485,5584.857245,6030.388707,6376.393904,6492.741288,6558.185199,6665.193496,6399.742243
Belize,BLZ,4342.128891,4424.437379,4358.469001,4385.175932,4307.221118,4344.150177,4333.361776,4398.764418,4359.714189,4440.701181,4446.793399
Bermuda,BMU,87616.38597,91944.87381,94029.60803,94903.19153,89391.21118,88207.32756,86001.17117,81547.85524,79251.78166,,
Bolivia,BOL,1720.099019,1771.946877,1821.795495,1901.899802,1933.740102,1981.160705,2051.152292,2122.384564,2231.477241,2317.257186,2392.983973
Brazil,BRA,9495.104939,9761.876402,10245.23081,10658.22531,10540.10877,11224.15408,11559.21227,11671.18294,11912.14676,11866.38892,11322.14668
Barbados,BRB,15623.93337,16447.76309,16670.6087,16666.07706,15926.49472,15905.91232,15967.25063,15958.9327,15895.26336,15856.13538,15952.26455
Brunei Darussalam,BRN,36325.12073,37401.05316,36997.80726,35860.38878,34812.71469,35268.10117,36092.09698,35899.03737,34618.97291,33313.83278,32661.85702
Bhutan,BTN,1534.820745,1601.915802,1848.566255,1898.052794,1986.135618,2178.921383,2310.003655,2387.005674,2399.918916,2500.260145,2625.574234
Botswana,BWA,5512.811229,5883.899059,6270.47408,6552.776641,5948.853248,6346.156204,6610.331923,6779.393898,7409.421155,7574.282093,7308.611508
Central African Republic,CAF,410.4148361,422.4386822,434.2504725,436.0737159,437.6013836,446.4434494,458.3327733,475.6673875,300.4795817,302.5463692,314.9265174
Canada,CAN,47181.56239,48035.03579,48552.69643,48510.56777,46543.7922,47447.47602,48456.96457,48724.2458,49355.09664,50067.04279,50109.87528
Central Europe and the Baltics,CEB,10703.62085,11435.87198,12212.95584,12720.21501,12274.77624,12556.93917,12996.183,13100.38496,13302.29119,13721.42161,14250.79058
Switzerland,CHE,70008.21754,72361.95567,74687.52555,75423.87607,72901.03356,74276.71842,74780.96833,74766.63329,75227.88985,75799.60618,75572.82983
Chile,CHL,11249.8679,11833.95202,12285.04838,12588.69122,12268.44115,12860.17764,13518.76508,14109.14333,14551.04442,14701.95389,14907.11639
China,CHN,2738.205401,3069.304714,3487.84569,3805.025916,4142.038196,4560.512487,4971.544821,5336.060027,5721.693695,6108.238642,6496.623872
Cote d'Ivoire,CIV,1216.208471,1210.668211,1207.087189,1211.623843,1223.510617,1219.749096,1138.664957,1229.7782,1305.709227,1384.910349,1474.058169
Cameroon,CMR,1174.725972,1180.165279,1185.741847,1186.927935,1177.13826,1182.869227,1198.833272,1220.424258,1254.192877,1293.631189,1332.684357
"Congo, Dem. Rep.",COD,286.291577,291.9714365,300.2918288,308.6528084,307.1091634,318.0757516,328.7505692,340.7140235,357.5703375,378.7914096,391.7185452
"Congo, Rep.",COG,2503.311603,2573.509417,2447.511193,2496.502589,2595.747235,2737.342365,2751.909533,2782.11138,2806.346926,2922.973336,2925.526819
Colombia,COL,5312.082352,5596.734741,5910.29238,6048.094531,6078.315455,6250.655044,6592.402325,6789.525501,7051.04027,7291.691868,7446.182401
Comoros,COM,801.3334599,803.113048,790.3674769,774.6849213,770.9947111,769.1742883,770.3227581,774.4709894,782.5169021,779.8398219,769.477378
Cabo Verde,CPV,2639.382638,2813.185404,3202.379264,3378.646197,3300.550986,3312.825985,3405.78186,3403.031082,3389.940004,3369.642709,3364.17997
Costa Rica,CRI,6954.039206,7351.860868,7841.925842,8095.309726,7911.7952,8199.414621,8449.962612,8753.225624,8852.401121,9077.414805,9406.756791
Caribbean small states,CSS,8210.932496,8715.446097,8938.276087,9007.290662,8634.456217,8701.583469,8739.038486,8792.251107,8881.021081,8867.290784,8823.23059
