title,rating,score
13 Reasons Why,TV-MA,99
Criminal Minds,TV-14,98
Family Guy,TV-MA,98
Finding Dory,PG,98
Friends,TV-14,98
Grey's Anatomy,TV-14,98
Lost,TV-14,98
Marvel's Iron Fist,TV-MA,98
Once Upon a Time,TV-PG,98
Orange Is the New Black,TV-MA,98
Prison Break,TV-14,98
The Flash,TV-PG,98
The Walking Dead,TV-MA,98
Bones,TV-14,97
Breaking Bad,TV-MA,97
Kevin Hart: What Now?,R,97
Last Man Standing,TV-PG,97
Law & Order: Special Victims Unit,TV-14,97
NCIS,TV-14,97
Shameless (U.S.),TV-MA,97
The 100,NR,97
The BFG,PG,97
The Jungle Book,PG,97
The Office (U.S.),TV-14,97
Zootopia,PG,97
Alice Through the Looking Glass,PG,96
Arrow,TV-14,96
Atlantis: The Lost Empire,PG,96
Gossip Girl,TV-14,96
Hawaii Five-0,TV-14,96
Homeward Bound: The Incredible Journey,G,96
Ingobernable,TV-MA,96
Kubo and the Two Strings,PG,96
London Has Fallen,R,96
Minions,PG,96
Pretty Little Liars,TV-14,96
The Blacklist,TV-14,96
Better Call Saul,TV-MA,95
Blue Bloods,TV-14,95
Coraline,PG,95
Dexter,TV-MA,95
How to Get Away with Murder,TV-14,95
Lilo & Stitch,PG,95
Marvel's Luke Cage,TV-MA,95
Sherlock,TV-14,95
Supernatural,TV-14,95
Tarzan,G,95
The Emperor's New Groove,G,95
Bee Movie,PG,94
Dave Chappelle,TV-MA,94
Girlboss,TV-MA,94
Home,PG,94
How I Met Your Mother,TV-PG,94
narcos,TV-MA,94
Parks and Recreation,TV-14,94
The Great British Baking Show,TV-PG,94
Anastasia,G,93
Blank Check,PG,93
Chewing Gum,TV-MA,93
Hotel Transylvania 2,PG,93
Person of Interest,TV-14,93
Pete's Dragon,PG,93
The Night Shift,TV-14,93
White Collar,TV-PG,93
Chicken Little,G,92
Glee,TV-PG,92
Kung Fu Panda 3,PG,92
Longmire,TV-14,92
Sandy Wexler,TV-14,92
Scandal,TV-14,92
The Angry Birds Movie,PG,92
The Client List,TV-14,92
Corpse Bride,PG,91
Gilmore Girls,TV-14,91
House of Cards,TV-MA,91
It's Always Sunny in Philadelphia,TV-MA,91
Jane The Virgin,TV-14,91
Kung Fu Panda,PG,91
New Girl,TV-14,91
Sausage Party,R,91
The Pacifier,PG,91
The Road to El Dorado,PG,91
The Vampire Diaries,TV-14,91
American Horror Story,TV-MA,90
Charmed,TV-PG,90
Fuller House,TV-G,90
Grace and Frankie,TV-MA,90
One Tree Hill,TV-14,90
Stranger Things,TV-14,90
Lie to Me,TV-14,89
Marvel's Agents of S.H.I.E.L.D.,TV-PG,89
Phineas and Ferb,TV-G,89
Sand Castle,TV-MA,89
That '70s Show,TV-14,89
The Magicians,TV-MA,89
Twilight,PG-13,89
Breakout Kings,TV-14,88
Dragons: Race to the Edge,TV-Y7-FV,88
Forensic Files,TV-14,88
Goosebumps,TV-Y7,88
Jessie,TV-G,88
Naruto,TV-PG,88
Private Practice,TV-14,88
Quantico,TV-14,88
The Cleveland Show,TV-14,88
Bordertown,TV-14,86
Grease,PG,86
Leverage,TV-PG,86
Scooby-Doo,PG,86
The Little Rascals,PG,86
Travelers,TV-MA,86
Barbie Life in the Dreamhouse,TV-G,85
Burn Notice,TV-14,85
Gotham,TV-14,85
Heartland,TV-PG,85
Lab Rats,TV-Y7,85
Lilo & Stitch 2: Stitch Has A Glitch,PG,85
Mulan 2,G,85
Weeds,TV-MA,85
Gabriel lglesias: I_—Èm Sorry For What I Said When I Was Hungry,TV-14,84
Limitless,TV-14,84
Revenge,TV-PG,84
The Crown,TV-MA,84
The Do-Over,TV-MA,84
The Nightmare Before Christmas,PG,84
Walt Disney Animation Studios Short Films Collection,TV-G,84
Bates Motel,TV-14,83
Flubber,PG,83
Marvel's Jessica Jones,TV-MA,83
Switched at Birth,TV-14,83
The Iron Giant,PG,83
Trollhunters,TV-Y7-FV,83
Nurse Jackie,TV-MA,82
Santa Clarita Diet,TV-MA,82
Scooby-Doo 2: Monsters Unleashed,PG,82
Sofia the First,TV-Y,82
The Waterboy,PG-13,82
White Chicks,PG-13,82
Cool Runnings,PG,81
Friday Night Lights,TV-PG,81
Hart of Dixie,TV-PG,81
Masha and the Bear,TV-Y,81
Rosewood,TV-14,81
Sense8,TV-MA,81
The Magic School Bus,TV-Y,81
The Prince of Egypt,PG,81
The Secret Life of the American Teenager,TV-14,81
Antz,PG,80
Baby Daddy,TV-14,80
Black Mirror,TV-MA,80
Chicken Run,G,80
Growing Up Wild,G,80
"Honey, I Shrunk the Kids",PG,80
The Get Down,TV-MA,80
American Crime Story: The People v. O.J. Simpson,TV-MA,79
Atlantis: Milo's Return,G,79
Dope,R,79
Meet the Blacks,R,79
Parenthood,TV-14,79
Reign,TV-14,79
The Matchbreaker,PG,79
The West Wing,TV-14,79
Blow,R,78
Only for One Night,TV-MA,78
The Adventures of Puss in Boots,TV-Y7-FV,78
Death in Paradise,TV-14,77
Death Note,TV-14,77
Gilmore Girls: A Year in the Life,TV-14,77
Goldie & Bear,TV-Y,77
Magic Mike,R,77
The Batman,TV-Y7,77
The Benchwarmers,PG-13,77
Mad Men,TV-14,75
Missione Hamburger,PG,75
Cars Toons: Mater's Tall Tales,TV-G,74
H2O: Just Add Water,TV-PG,74
Heavyweights,PG,74
Pok’©mon: Indigo League,TV-Y,74
Ratchet and Clank,PG,74
Schitt's Creek,TV-14,74
The Originals,TV-14,74
Mighty Morphin Power Rangers,TV-Y7-FV,73
Raising Hope,TV-14,73
The Fosters,TV-14,73
The Killing,TV-14,73
Animaniacs,TV-Y7,72
Dawn of the Croods,TV-Y7,72
Open Season: Scared Silly,PG,72
All Hail King Julien,TV-Y7-FV,71
Baby's Day Out,PG,71
Louis C.K. 2017,TV-MA,71
The Little Prince,PG,71
Young Justice,TV-PG,71
D2: The Mighty Ducks,PG,70
FernGully: The Last Rainforest,G,70
Little Einsteins,TV-Y,70
Madam Secretary,TV-14,70
Paddington,PG,70
Luther,TV-14,69
Skin Wars,TV-14,69
The Carmichael Show,TV-14,69
The Great Gilly Hopkins,PG,69
10 Things I Hate About You,PG-13,68
Annie,PG,68
Life in Pieces,TV-14,68
Super Why!,TV-Y,68
Touch,TV-14,68
An American Tail,G,67
An Extremely Goofy Movie,G,67
LEGO Ninjago: Masters of Spinjitzu,TV-Y7-FV,67
Pocoyo,TV-Y,67
30 Rock,TV-14,66
Crossing Lines,TV-14,66
Justice League,TV-Y7-FV,66
Secret of the Wings,G,65
The Real Ghostbusters,TV-Y7,65
Balto,G,64
High School Musical,TV-G,64
Pocahontas II: Journey to a New World,TV-G,64
Spy Kids 3: Game Over,PG,64
Step Up,PG-13,64
Brickleberry,TV-MA,63
Californication,TV-MA,63
Girlfriends' Guide to Divorce,TV-14,63
Trouble with the Curve,PG-13,63
90210,TV-14,62
Greenleaf,TV-14,62
Portlandia,TV-14,62
Safe Haven,PG-13,62
Army Wives,TV-14,61
Bunk'd,TV-G,61
Cheer Squad,TV-PG,61
Fantasia,G,61
Little Boxes,TV-14,61
Talking Tom and Friends,TV-G,61
The Fall,TV-MA,61
Absolutely Fabulous,TV-14,59
Being Human (U.S.),TV-14,58
Harry and the Hendersons,PG,58
Haters Back Off,TV-14,58
High School Musical 2,TV-G,58
Brother Bear 2,G,57
Hap and Leonard,TV-MA,57
Hunter X Hunter (2011),NR,57
Star Wars: The Clone Wars,PG,57
